epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1950.07,0.79361,0.45337,0.86192,0.99958,1,0.995,0.82653,0.77138,0.42038,0.85047,0.000478762,0.000478762,0.000478762
74,1971.15,0.78332,0.45245,0.86115,0.99948,1,0.995,0.82406,0.78039,0.42193,0.85013,0.000462259,0.000462259,0.000462259
75,1984.67,0.81341,0.45624,0.87623,0.99947,1,0.995,0.82341,0.78245,0.42629,0.85114,0.000445756,0.000445756,0.000445756
76,2004.64,0.7776,0.44736,0.85729,0.99953,1,0.995,0.82578,0.76593,0.42881,0.84894,0.000429253,0.000429253,0.000429253
77,2022.44,0.81027,0.45216,0.85724,0.99931,1,0.995,0.82833,0.75814,0.42501,0.8442,0.000412749,0.000412749,0.000412749
78,2040.77,0.79573,0.45912,0.86016,0.99949,1,0.995,0.82299,0.77976,0.41501,0.84554,0.000396246,0.000396246,0.000396246
79,2057.98,0.80632,0.44824,0.87022,0.99958,1,0.995,0.82644,0.76856,0.40312,0.84362,0.000379743,0.000379743,0.000379743
80,2072.82,0.82,0.44392,0.87576,0.99958,1,0.995,0.82544,0.76993,0.39918,0.84388,0.000363239,0.000363239,0.000363239
81,2090.75,0.80997,0.44951,0.87241,0.9996,1,0.995,0.83819,0.75641,0.40017,0.8434,0.000346736,0.000346736,0.000346736
82,2109,0.78322,0.44086,0.86584,0.99958,1,0.995,0.83123,0.77232,0.40692,0.84919,0.000330233,0.000330233,0.000330233
83,2124.62,0.80432,0.43712,0.85823,0.99958,1,0.995,0.82555,0.77403,0.41056,0.85244,0.000313729,0.000313729,0.000313729
84,2140.66,0.79959,0.44039,0.86579,0.99958,1,0.995,0.83134,0.76057,0.40446,0.85013,0.000297226,0.000297226,0.000297226
85,3800.47,0.76763,0.42375,0.84361,0.99947,0.95122,0.96276,0.80923,0.74679,0.39605,0.8473,0.000280723,0.000280723,0.000280723
86,3889.55,0.75604,0.41803,0.86043,0.9995,1,0.995,0.83694,0.74931,0.39739,0.84668,0.00026422,0.00026422,0.00026422
87,3967.69,0.75511,0.41897,0.86233,0.99955,1,0.995,0.84236,0.73771,0.39298,0.84355,0.000247716,0.000247716,0.000247716
88,3981.98,0.77946,0.42241,0.8567,0.99956,1,0.995,0.83316,0.75164,0.39342,0.8467,0.000231213,0.000231213,0.000231213
89,3998.76,0.75048,0.41844,0.85227,0.9995,1,0.995,0.82496,0.77442,0.39908,0.85109,0.00021471,0.00021471,0.00021471
90,4013.98,0.74741,0.41204,0.85157,0.99956,1,0.995,0.839,0.74822,0.39272,0.84544,0.000198206,0.000198206,0.000198206
91,4058.02,0.75471,0.43906,0.85912,0.99955,1,0.995,0.83867,0.73237,0.39634,0.8411,0.000181703,0.000181703,0.000181703
92,4081.16,0.73494,0.43028,0.84465,0.9995,1,0.995,0.83751,0.74588,0.40714,0.84293,0.0001652,0.0001652,0.0001652
93,4101.25,0.74371,0.43467,0.86773,0.99949,1,0.995,0.83422,0.74975,0.40961,0.84332,0.000148696,0.000148696,0.000148696
94,4122.47,0.74648,0.4232,0.85385,0.99953,1,0.995,0.83369,0.73415,0.40392,0.84015,0.000132193,0.000132193,0.000132193
95,4141.35,0.73254,0.40457,0.83579,0.9996,1,0.995,0.83426,0.73207,0.40047,0.83983,0.00011569,0.00011569,0.00011569
96,4159.44,0.73332,0.41077,0.84694,0.99954,1,0.995,0.83469,0.73394,0.39567,0.84012,9.91865e-05,9.91865e-05,9.91865e-05
97,4181.37,0.73715,0.40682,0.8549,0.99952,1,0.995,0.83428,0.73262,0.3925,0.84032,8.26832e-05,8.26832e-05,8.26832e-05
98,4198.15,0.72471,0.40365,0.86081,0.99954,1,0.995,0.83074,0.73246,0.39202,0.84107,6.61799e-05,6.61799e-05,6.61799e-05
99,4216.68,0.73602,0.4079,0.86075,0.99956,1,0.995,0.83036,0.73303,0.39383,0.84155,4.96766e-05,4.96766e-05,4.96766e-05
100,4232.9,0.71728,0.40149,0.85275,0.99959,1,0.995,0.83149,0.73105,0.39408,0.84132,3.31733e-05,3.31733e-05,3.31733e-05
